"Rk","G","Date","Age","Tm","Opp","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Name"
"73","73","1985-03-26","22-037","CHI","IND","1","40:00","13","24",".542","0","1",".000","12","13",".923","4","5","9","5","3","0","3","5","38","31.8","MJ"
"74","74","1985-03-28","22-039","CHI","CLE","1","41:00","11","25",".440","1","3",".333","12","14",".857","4","4","8","10","2","0","2","4","35","30.5","MJ"
"75","75","1985-03-30","22-041","CHI","PHI","1","42:00","13","19",".684","1","1","1.000","11","13",".846","2","3","5","6","1","0","3","1","38","33.2","MJ"
"76","76","1985-04-02","22-044","CHI","NJN","1","44:00","12","19",".632","0","0","","7","8",".875","5","3","8","9","3","0","7","1","31","28.4","MJ"
"77","77","1985-04-03","22-045","CHI","WSB","1","40:00","12","19",".632","0","1",".000","1","3",".333","1","5","6","3","4","0","2","5","25","20.0","MJ"
"78","78","1985-04-05","22-047","CHI","PHI","1","38:00","13","21",".619","0","1",".000","14","15",".933","0","1","1","5","3","0","2","6","40","32.5","MJ"
"79","79","1985-04-06","22-048","CHI","ATL","1","43:00","12","18",".667","0","0","","9","9","1.000","2","5","7","4","3","2","7","4","33","26.7","MJ"
"80","80","1985-04-08","22-050","CHI","IND","1","39:00","6","20",".300","0","1",".000","10","14",".714","2","6","8","5","3","0","5","2","22","12.7","MJ"
"81","81","1985-04-12","22-054","CHI","ATL","1","36:00","11","16",".688","0","1",".000","6","7",".857","2","1","3","6","5","0","7","3","28","23.5","MJ"
"82","82","1985-04-13","22-055","CHI","NJN","1","40:00","9","24",".375","1","5",".200","10","11",".909","2","0","2","9","1","0","4","3","29","18.9","MJ"
"1","1","2003-10-29","18-303","CLE","SAC","1","42:00","12","20",".600","0","2",".000","1","3",".333","2","4","6","9","4","0","2","3","25","24.7","LJ"
"2","2","2003-10-30","18-304","CLE","PHO","1","41:00","8","17",".471","1","5",".200","4","7",".571","2","10","12","8","1","0","7","1","21","14.7","LJ"
"3","3","2003-11-01","18-306","CLE","POR","1","39:00","3","12",".250","0","1",".000","2","2","1.000","0","4","4","6","2","0","2","3","8","5.0","LJ"
"4","4","2003-11-05","18-310","CLE","DEN","1","41:00","3","11",".273","0","2",".000","1","1","1.000","2","9","11","7","2","3","2","1","7","11.2","LJ"
"5","5","2003-11-07","18-312","CLE","IND","1","44:00","8","18",".444","1","2",".500","6","7",".857","0","5","5","3","0","0","7","2","23","9.0","LJ"
"6","6","2003-11-08","18-313","CLE","WAS","1","45:00","8","19",".421","0","0","","1","4",".250","5","3","8","9","1","1","2","1","17","15.7","LJ"
"7","7","2003-11-10","18-315","CLE","NYK","1","34:00","7","12",".583","3","3","1.000","0","0","","1","4","5","4","1","1","2","0","17","15.8","LJ"
