"Rk","G","Date","Age","Tm","Opp","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Name"
"58","58","2010-02-27","21-350","GSW","DET","1","48:00","11","25",".440","3","6",".500","2","3",".667","1","4","5","4","1","0","5","4","27","12.6","SC"
"59","59","2010-03-02","21-353","GSW","MIA","1","43:27","7","17",".412","3","8",".375","1","1","1.000","0","2","2","8","2","0","3","5","18","12.1","SC"
"60","60","2010-03-03","21-354","GSW","ORL","1","32:11","3","12",".250","1","2",".500","2","2","1.000","0","3","3","7","2","0","5","2","9","3.8","SC"
"61","61","2010-03-05","21-356","GSW","ATL","1","48:00","11","19",".579","5","9",".556","4","4","1.000","1","4","5","11","2","0","7","1","31","26.3","SC"
"62","62","2010-03-06","21-357","GSW","CHA","1","48:00","8","23",".348","4","8",".500","5","6",".833","2","3","5","4","0","0","3","1","25","13.4","SC"
"63","63","2010-03-08","21-359","GSW","NOH","1","33:59","5","13",".385","2","4",".500","0","0","","0","3","3","6","1","0","4","2","12","6.2","SC"
"64","64","2010-03-11","21-362","GSW","POR","1","33:03","6","15",".400","2","7",".286","1","1","1.000","2","3","5","3","2","0","4","5","15","7.3","SC"
"65","65","2010-03-13","21-364","GSW","TOR","1","42:21","13","21",".619","5","8",".625","4","4","1.000","2","4","6","10","4","1","2","1","35","37.4","SC"
"66","66","2010-03-15","22-001","GSW","LAL","1","33:50","11","19",".579","5","9",".556","2","2","1.000","0","5","5","9","1","0","0","4","29","27.3","SC"
"67","67","2010-03-20","22-006","GSW","MEM","1","25:20","4","10",".400","1","3",".333","0","0","","0","4","4","6","0","1","2","2","9","6.9","SC"
"68","68","2010-03-22","22-008","GSW","PHO","1","33:55","6","15",".400","2","5",".400","0","0","","1","3","4","8","4","0","1","4","14","14.5","SC"
"69","69","2010-03-24","22-010","GSW","MEM","1","40:23","12","19",".632","4","6",".667","2","2","1.000","1","4","5","11","4","0","7","3","30","26.9","SC"
"70","70","2010-03-27","22-013","GSW","DAL","1","36:52","6","16",".375","3","5",".600","2","2","1.000","0","7","7","6","2","0","7","1","17","9.1","SC"
"71","71","2010-03-28","22-014","GSW","LAC","1","39:52","8","15",".533","2","2","1.000","0","0","","1","3","4","7","1","0","3","5","18","13.2","SC"
"72","72","2010-03-31","22-017","GSW","UTA","1","33:37","6","16",".375","1","4",".250","2","3",".667","1","1","2","6","0","0","4","5","15","5.0","SC"
"73","73","2010-04-02","22-019","GSW","NYK","1","29:23","7","21",".333","1","5",".200","0","0","","1","3","4","10","1","0","2","1","15","10.3","SC"
"74","74","2010-04-04","22-021","GSW","TOR","1","44:14","10","23",".435","5","11",".455","4","6",".667","1","7","8","12","3","2","5","4","29","25.1","SC"
"75","75","2010-04-06","22-023","GSW","WAS","1","33:21","10","21",".476","3","6",".500","4","4","1.000","0","1","1","4","2","0","2","2","27","18.6","SC"
"76","76","2010-04-07","22-024","GSW","MIN","1","44:15","12","22",".545","3","5",".600","0","0","","2","6","8","14","7","0","4","4","27","30.8","SC"
"77","77","2010-04-10","22-027","GSW","LAC","1","41:13","10","19",".526","5","10",".500","4","4","1.000","0","9","9","4","3","0","3","5","29","23.2","SC"
"78","78","2010-04-11","22-028","GSW","OKC","1","34:34","9","16",".563","3","6",".500","4","6",".667","1","6","7","7","1","0","4","2","25","20.2","SC"
"79","79","2010-04-13","22-030","GSW","UTA","1","40:40","5","15",".333","1","4",".250","6","6","1.000","1","4","5","6","2","0","2","4","17","13.0","SC"
"80","80","2010-04-14","22-031","GSW","POR","1","48:00","13","25",".520","4","6",".667","12","12","1.000","3","6","9","8","2","1","2","0","42","39.9","SC"
